Virtual address: 16916, PageNum: 66, PageOff: 20, Physical address: 20, Value: 0
Virtual address: 64747, PageNum: 252, PageOff: 235, Physical address: 6635, Value: 58
Virtual address: 6727, PageNum: 26, PageOff: 71, Physical address: 6727, Value: -111
Virtual address: 32315, PageNum: 126, PageOff: 59, Physical address: 6971, Value: -114
Virtual address: 60645, PageNum: 236, PageOff: 229, Physical address: 7397, Value: 0
Virtual address: 6308, PageNum: 24, PageOff: 164, Physical address: 7588, Value: 0
Virtual address: 45688, PageNum: 178, PageOff: 120, Physical address: 7800, Value: 0
Virtual address: 969, PageNum: 3, PageOff: 201, Physical address: 8137, Value: 0
Virtual address: 40891, PageNum: 159, PageOff: 187, Physical address: 8379, Value: -18
Virtual address: 49294, PageNum: 192, PageOff: 142, Physical address: 8590, Value: 48
Virtual address: 41118, PageNum: 160, PageOff: 158, Physical address: 8862, Value: 40
Virtual address: 21395, PageNum: 83, PageOff: 147, Physical address: 9107, Value: -28
Virtual address: 6091, PageNum: 23, PageOff: 203, Physical address: 9419, Value: -14
Virtual address: 32541, PageNum: 127, PageOff: 29, Physical address: 9501, Value: 0
Virtual address: 17665, PageNum: 69, PageOff: 1, Physical address: 9729, Value: 0
Virtual address: 3784, PageNum: 14, PageOff: 200, Physical address: 10184, Value: 0
Virtual address: 28718, PageNum: 112, PageOff: 46, Physical address: 1326, Value: 28
Virtual address: 59240, PageNum: 231, PageOff: 104, Physical address: 10344, Value: 0
Virtual address: 40178, PageNum: 156, PageOff: 242, Physical address: 1266, Value: 39
Virtual address: 60086, PageNum: 234, PageOff: 182, Physical address: 10678, Value: 58
Virtual address: 42252, PageNum: 165, PageOff: 12, Physical address: 10764, Value: 0
Virtual address: 44770, PageNum: 174, PageOff: 226, Physical address: 11234, Value: 43
Virtual address: 22514, PageNum: 87, PageOff: 242, Physical address: 11506, Value: 21
Virtual address: 3067, PageNum: 11, PageOff: 251, Physical address: 11771, Value: -2
Virtual address: 15757, PageNum: 61, PageOff: 141, Physical address: 11917, Value: 0
Virtual address: 31649, PageNum: 123, PageOff: 161, Physical address: 12193, Value: 0
Virtual address: 10842, PageNum: 42, PageOff: 90, Physical address: 12378, Value: 10
Virtual address: 43765, PageNum: 170, PageOff: 245, Physical address: 12789, Value: 0
Virtual address: 33405, PageNum: 130, PageOff: 125, Physical address: 12925, Value: 0
Virtual address: 44954, PageNum: 175, PageOff: 154, Physical address: 13210, Value: 43
Virtual address: 56657, PageNum: 221, PageOff: 81, Physical address: 13393, Value: 0
Virtual address: 5003, PageNum: 19, PageOff: 139, Physical address: 13707, Value: -30
Virtual address: 50227, PageNum: 196, PageOff: 51, Physical address: 13875, Value: 12
Virtual address: 19358, PageNum: 75, PageOff: 158, Physical address: 14238, Value: 18
Virtual address: 36529, PageNum: 142, PageOff: 177, Physical address: 14513, Value: 0
Virtual address: 10392, PageNum: 40, PageOff: 152, Physical address: 14744, Value: 0
Virtual address: 58882, PageNum: 230, PageOff: 2, Physical address: 14850, Value: 57
Virtual address: 5129, PageNum: 20, PageOff: 9, Physical address: 15113, Value: 0
Virtual address: 58554, PageNum: 228, PageOff: 186, Physical address: 15546, Value: 57
Virtual address: 58584, PageNum: 228, PageOff: 216, Physical address: 15576, Value: 0
Virtual address: 27444, PageNum: 107, PageOff: 52, Physical address: 15668, Value: 0
Virtual address: 58982, PageNum: 230, PageOff: 102, Physical address: 14950, Value: 57
Virtual address: 51476, PageNum: 201, PageOff: 20, Physical address: 15892, Value: 0
Virtual address: 6796, PageNum: 26, PageOff: 140, Physical address: 6796, Value: 0
Virtual address: 21311, PageNum: 83, PageOff: 63, Physical address: 9023, Value: -49
Virtual address: 30705, PageNum: 119, PageOff: 241, Physical address: 16369, Value: 0
Virtual address: 28964, PageNum: 113, PageOff: 36, Physical address: 16420, Value: 0
Virtual address: 41003, PageNum: 160, PageOff: 43, Physical address: 8747, Value: 10
Virtual address: 20259, PageNum: 79, PageOff: 35, Physical address: 16675, Value: -56
Virtual address: 57857, PageNum: 226, PageOff: 1, Physical address: 3073, Value: 0
Virtual address: 63258, PageNum: 247, PageOff: 26, Physical address: 16922, Value: 61
Virtual address: 36374, PageNum: 142, PageOff: 22, Physical address: 14358, Value: 35
Virtual address: 692, PageNum: 2, PageOff: 180, Physical address: 17332, Value: 0
Virtual address: 43121, PageNum: 168, PageOff: 113, Physical address: 17521, Value: 0
Virtual address: 48128, PageNum: 188, PageOff: 0, Physical address: 17664, Value: 0
Virtual address: 34561, PageNum: 135, PageOff: 1, Physical address: 17921, Value: 0
Virtual address: 49213, PageNum: 192, PageOff: 61, Physical address: 8509, Value: 0
Virtual address: 36922, PageNum: 144, PageOff: 58, Physical address: 18234, Value: 36
Virtual address: 59162, PageNum: 231, PageOff: 26, Physical address: 10266, Value: 57
Virtual address: 50552, PageNum: 197, PageOff: 120, Physical address: 18552, Value: 0
Virtual address: 17866, PageNum: 69, PageOff: 202, Physical address: 9930, Value: 17
Virtual address: 18145, PageNum: 70, PageOff: 225, Physical address: 18913, Value: 0
Virtual address: 3884, PageNum: 15, PageOff: 44, Physical address: 18988, Value: 0
Virtual address: 54388, PageNum: 212, PageOff: 116, Physical address: 19316, Value: 0
Virtual address: 42932, PageNum: 167, PageOff: 180, Physical address: 19636, Value: 0
Virtual address: 46919, PageNum: 183, PageOff: 71, Physical address: 19783, Value: -47
Virtual address: 58892, PageNum: 230, PageOff: 12, Physical address: 14860, Value: 0
Virtual address: 8620, PageNum: 33, PageOff: 172, Physical address: 20140, Value: 0
Virtual address: 38336, PageNum: 149, PageOff: 192, Physical address: 20416, Value: 0
Virtual address: 64357, PageNum: 251, PageOff: 101, Physical address: 4965, Value: 0
Virtual address: 23387, PageNum: 91, PageOff: 91, Physical address: 20571, Value: -42
Virtual address: 42632, PageNum: 166, PageOff: 136, Physical address: 20872, Value: 0
Virtual address: 15913, PageNum: 62, PageOff: 41, Physical address: 21033, Value: 0
Virtual address: 15679, PageNum: 61, PageOff: 63, Physical address: 11839, Value: 79
Virtual address: 22501, PageNum: 87, PageOff: 229, Physical address: 11493, Value: 0
Virtual address: 37540, PageNum: 146, PageOff: 164, Physical address: 21412, Value: 0
Virtual address: 5527, PageNum: 21, PageOff: 151, Physical address: 21655, Value: 101
Virtual address: 63921, PageNum: 249, PageOff: 177, Physical address: 21937, Value: 0
Virtual address: 62716, PageNum: 244, PageOff: 252, Physical address: 508, Value: 0
Virtual address: 32874, PageNum: 128, PageOff: 106, Physical address: 4202, Value: 32
Virtual address: 64390, PageNum: 251, PageOff: 134, Physical address: 4998, Value: 62
Virtual address: 63101, PageNum: 246, PageOff: 125, Physical address: 22141, Value: 0
Virtual address: 61802, PageNum: 241, PageOff: 106, Physical address: 22378, Value: 60
Virtual address: 19648, PageNum: 76, PageOff: 192, Physical address: 22720, Value: 0
Virtual address: 29031, PageNum: 113, PageOff: 103, Physical address: 16487, Value: 89
Virtual address: 44981, PageNum: 175, PageOff: 181, Physical address: 13237, Value: 0
Virtual address: 28092, PageNum: 109, PageOff: 188, Physical address: 3516, Value: 0
Virtual address: 9448, PageNum: 36, PageOff: 232, Physical address: 23016, Value: 0
Virtual address: 44744, PageNum: 174, PageOff: 200, Physical address: 11208, Value: 0
Virtual address: 61496, PageNum: 240, PageOff: 56, Physical address: 23096, Value: 0
Virtual address: 31453, PageNum: 122, PageOff: 221, Physical address: 23517, Value: 0
Virtual address: 60746, PageNum: 237, PageOff: 74, Physical address: 23626, Value: 59
Virtual address: 12199, PageNum: 47, PageOff: 167, Physical address: 2727, Value: -23
Virtual address: 62255, PageNum: 243, PageOff: 47, Physical address: 23855, Value: -53
Virtual address: 21793, PageNum: 85, PageOff: 33, Physical address: 24097, Value: 0
Virtual address: 26544, PageNum: 103, PageOff: 176, Physical address: 24496, Value: 0
Virtual address: 14964, PageNum: 58, PageOff: 116, Physical address: 24692, Value: 0
Virtual address: 41462, PageNum: 161, PageOff: 246, Physical address: 25078, Value: 40
Virtual address: 56089, PageNum: 219, PageOff: 25, Physical address: 25113, Value: 0
Virtual address: 52038, PageNum: 203, PageOff: 70, Physical address: 25414, Value: 50
Virtual address: 47982, PageNum: 187, PageOff: 110, Physical address: 25710, Value: 46
Virtual address: 59484, PageNum: 232, PageOff: 92, Physical address: 25948, Value: 0
Virtual address: 50924, PageNum: 198, PageOff: 236, Physical address: 26348, Value: 0
Virtual address: 6942, PageNum: 27, PageOff: 30, Physical address: 26398, Value: 6
Virtual address: 34998, PageNum: 136, PageOff: 182, Physical address: 26806, Value: 34
Virtual address: 27069, PageNum: 105, PageOff: 189, Physical address: 27069, Value: 0
Virtual address: 51926, PageNum: 202, PageOff: 214, Physical address: 27350, Value: 50
Virtual address: 60645, PageNum: 236, PageOff: 229, Physical address: 7397, Value: 0
Virtual address: 43181, PageNum: 168, PageOff: 173, Physical address: 17581, Value: 0
Virtual address: 10559, PageNum: 41, PageOff: 63, Physical address: 27455, Value: 79
Virtual address: 4664, PageNum: 18, PageOff: 56, Physical address: 27704, Value: 0
Virtual address: 28578, PageNum: 111, PageOff: 162, Physical address: 28066, Value: 27
Virtual address: 59516, PageNum: 232, PageOff: 124, Physical address: 25980, Value: 0
Virtual address: 38912, PageNum: 152, PageOff: 0, Physical address: 3840, Value: 0
Virtual address: 63562, PageNum: 248, PageOff: 74, Physical address: 28234, Value: 62
Virtual address: 64846, PageNum: 253, PageOff: 78, Physical address: 2126, Value: 63
Virtual address: 62938, PageNum: 245, PageOff: 218, Physical address: 28634, Value: 61
Virtual address: 27194, PageNum: 106, PageOff: 58, Physical address: 28730, Value: 26
Virtual address: 28804, PageNum: 112, PageOff: 132, Physical address: 1412, Value: 0
Virtual address: 61703, PageNum: 241, PageOff: 7, Physical address: 22279, Value: 65
Virtual address: 10998, PageNum: 42, PageOff: 246, Physical address: 12534, Value: 10
Virtual address: 6596, PageNum: 25, PageOff: 196, Physical address: 29124, Value: 0
Virtual address: 37721, PageNum: 147, PageOff: 89, Physical address: 29273, Value: 0
Virtual address: 43430, PageNum: 169, PageOff: 166, Physical address: 29606, Value: 42
Virtual address: 22692, PageNum: 88, PageOff: 164, Physical address: 2980, Value: 0
Virtual address: 62971, PageNum: 245, PageOff: 251, Physical address: 28667, Value: 126
Virtual address: 47125, PageNum: 184, PageOff: 21, Physical address: 29717, Value: 0
Virtual address: 52521, PageNum: 205, PageOff: 41, Physical address: 29993, Value: 0
Virtual address: 34646, PageNum: 135, PageOff: 86, Physical address: 18006, Value: 33
Virtual address: 32889, PageNum: 128, PageOff: 121, Physical address: 4217, Value: 0
Virtual address: 13055, PageNum: 50, PageOff: 255, Physical address: 30463, Value: -65
Virtual address: 65416, PageNum: 255, PageOff: 136, Physical address: 30600, Value: 0
Virtual address: 62869, PageNum: 245, PageOff: 149, Physical address: 28565, Value: 0
Virtual address: 57314, PageNum: 223, PageOff: 226, Physical address: 30946, Value: 55
Virtual address: 12659, PageNum: 49, PageOff: 115, Physical address: 31091, Value: 92
Virtual address: 14052, PageNum: 54, PageOff: 228, Physical address: 31460, Value: 0
Virtual address: 32956, PageNum: 128, PageOff: 188, Physical address: 4284, Value: 0
Virtual address: 49273, PageNum: 192, PageOff: 121, Physical address: 8569, Value: 0
Virtual address: 50352, PageNum: 196, PageOff: 176, Physical address: 14000, Value: 0
Virtual address: 49737, PageNum: 194, PageOff: 73, Physical address: 31561, Value: 0
Virtual address: 15555, PageNum: 60, PageOff: 195, Physical address: 31939, Value: 48
Virtual address: 47475, PageNum: 185, PageOff: 115, Physical address: 32115, Value: 92
Virtual address: 15328, PageNum: 59, PageOff: 224, Physical address: 32480, Value: 0
Virtual address: 34621, PageNum: 135, PageOff: 61, Physical address: 17981, Value: 0
Virtual address: 51365, PageNum: 200, PageOff: 165, Physical address: 32677, Value: 0
Virtual address: 32820, PageNum: 128, PageOff: 52, Physical address: 4148, Value: 0
Virtual address: 48855, PageNum: 190, PageOff: 215, Physical address: 32983, Value: -75
Virtual address: 12224, PageNum: 47, PageOff: 192, Physical address: 2752, Value: 0
Virtual address: 2035, PageNum: 7, PageOff: 243, Physical address: 33267, Value: -4
Virtual address: 60539, PageNum: 236, PageOff: 123, Physical address: 7291, Value: 30
Virtual address: 14595, PageNum: 57, PageOff: 3, Physical address: 33283, Value: 64
Virtual address: 13853, PageNum: 54, PageOff: 29, Physical address: 31261, Value: 0
Virtual address: 24143, PageNum: 94, PageOff: 79, Physical address: 33615, Value: -109
Virtual address: 15216, PageNum: 59, PageOff: 112, Physical address: 32368, Value: 0
Virtual address: 8113, PageNum: 31, PageOff: 177, Physical address: 33969, Value: 0
Virtual address: 22640, PageNum: 88, PageOff: 112, Physical address: 2928, Value: 0
Virtual address: 32978, PageNum: 128, PageOff: 210, Physical address: 4306, Value: 32
Virtual address: 39151, PageNum: 152, PageOff: 239, Physical address: 4079, Value: 59
Virtual address: 19520, PageNum: 76, PageOff: 64, Physical address: 22592, Value: 0
Virtual address: 58141, PageNum: 227, PageOff: 29, Physical address: 34077, Value: 0
Virtual address: 63959, PageNum: 249, PageOff: 215, Physical address: 21975, Value: 117
Virtual address: 53040, PageNum: 207, PageOff: 48, Physical address: 34352, Value: 0
Virtual address: 55842, PageNum: 218, PageOff: 34, Physical address: 34594, Value: 54
Virtual address: 585, PageNum: 2, PageOff: 73, Physical address: 17225, Value: 0
Virtual address: 51229, PageNum: 200, PageOff: 29, Physical address: 32541, Value: 0
Virtual address: 64181, PageNum: 250, PageOff: 181, Physical address: 4533, Value: 0
Virtual address: 54879, PageNum: 214, PageOff: 95, Physical address: 3679, Value: -105
Virtual address: 28210, PageNum: 110, PageOff: 50, Physical address: 34866, Value: 27
Virtual address: 10268, PageNum: 40, PageOff: 28, Physical address: 14620, Value: 0
Virtual address: 15395, PageNum: 60, PageOff: 35, Physical address: 31779, Value: 8
Virtual address: 12884, PageNum: 50, PageOff: 84, Physical address: 30292, Value: 0
Virtual address: 2149, PageNum: 8, PageOff: 101, Physical address: 35173, Value: 0
Virtual address: 53483, PageNum: 208, PageOff: 235, Physical address: 35563, Value: 58
Virtual address: 59606, PageNum: 232, PageOff: 214, Physical address: 26070, Value: 58
Virtual address: 14981, PageNum: 58, PageOff: 133, Physical address: 24709, Value: 0
Virtual address: 36672, PageNum: 143, PageOff: 64, Physical address: 35648, Value: 0
Virtual address: 23197, PageNum: 90, PageOff: 157, Physical address: 35997, Value: 0
Virtual address: 36518, PageNum: 142, PageOff: 166, Physical address: 14502, Value: 35
Virtual address: 13361, PageNum: 52, PageOff: 49, Physical address: 36145, Value: 0
Virtual address: 19810, PageNum: 77, PageOff: 98, Physical address: 36450, Value: 19
Virtual address: 25955, PageNum: 101, PageOff: 99, Physical address: 36707, Value: 88
Virtual address: 62678, PageNum: 244, PageOff: 214, Physical address: 470, Value: 61
Virtual address: 26021, PageNum: 101, PageOff: 165, Physical address: 36773, Value: 0
Virtual address: 29409, PageNum: 114, PageOff: 225, Physical address: 37089, Value: 0
Virtual address: 38111, PageNum: 148, PageOff: 223, Physical address: 37343, Value: 55
Virtual address: 58573, PageNum: 228, PageOff: 205, Physical address: 15565, Value: 0
Virtual address: 56840, PageNum: 222, PageOff: 8, Physical address: 37384, Value: 0
Virtual address: 41306, PageNum: 161, PageOff: 90, Physical address: 24922, Value: 40
Virtual address: 54426, PageNum: 212, PageOff: 154, Physical address: 19354, Value: 53
Virtual address: 3617, PageNum: 14, PageOff: 33, Physical address: 10017, Value: 0
Virtual address: 50652, PageNum: 197, PageOff: 220, Physical address: 18652, Value: 0
Virtual address: 41452, PageNum: 161, PageOff: 236, Physical address: 25068, Value: 0
Virtual address: 20241, PageNum: 79, PageOff: 17, Physical address: 16657, Value: 0
Virtual address: 31723, PageNum: 123, PageOff: 235, Physical address: 12267, Value: -6
Virtual address: 53747, PageNum: 209, PageOff: 243, Physical address: 1011, Value: 124
Virtual address: 28550, PageNum: 111, PageOff: 134, Physical address: 28038, Value: 27
Virtual address: 23402, PageNum: 91, PageOff: 106, Physical address: 20586, Value: 22
Virtual address: 21205, PageNum: 82, PageOff: 213, Physical address: 37845, Value: 0
Virtual address: 56181, PageNum: 219, PageOff: 117, Physical address: 25205, Value: 0
Virtual address: 57470, PageNum: 224, PageOff: 126, Physical address: 38014, Value: 56
Virtual address: 39933, PageNum: 155, PageOff: 253, Physical address: 38397, Value: 0
Virtual address: 34964, PageNum: 136, PageOff: 148, Physical address: 26772, Value: 0
Virtual address: 24781, PageNum: 96, PageOff: 205, Physical address: 38605, Value: 0
Virtual address: 41747, PageNum: 163, PageOff: 19, Physical address: 38675, Value: -60
Virtual address: 62564, PageNum: 244, PageOff: 100, Physical address: 356, Value: 0
Virtual address: 58461, PageNum: 228, PageOff: 93, Physical address: 15453, Value: 0
Virtual address: 20858, PageNum: 81, PageOff: 122, Physical address: 39034, Value: 20
Virtual address: 49301, PageNum: 192, PageOff: 149, Physical address: 8597, Value: 0
Virtual address: 40572, PageNum: 158, PageOff: 124, Physical address: 39292, Value: 0
Virtual address: 23840, PageNum: 93, PageOff: 32, Physical address: 39456, Value: 0
Virtual address: 35278, PageNum: 137, PageOff: 206, Physical address: 39886, Value: 34
Virtual address: 62905, PageNum: 245, PageOff: 185, Physical address: 28601, Value: 0
Virtual address: 56650, PageNum: 221, PageOff: 74, Physical address: 13386, Value: 55
Virtual address: 11149, PageNum: 43, PageOff: 141, Physical address: 40077, Value: 0
Virtual address: 38920, PageNum: 152, PageOff: 8, Physical address: 3848, Value: 0
Virtual address: 23430, PageNum: 91, PageOff: 134, Physical address: 20614, Value: 22
Virtual address: 57592, PageNum: 224, PageOff: 248, Physical address: 38136, Value: 0
Virtual address: 3080, PageNum: 12, PageOff: 8, Physical address: 40200, Value: 0
Virtual address: 6677, PageNum: 26, PageOff: 21, Physical address: 6677, Value: 0
Virtual address: 50704, PageNum: 198, PageOff: 16, Physical address: 26128, Value: 0
Virtual address: 51883, PageNum: 202, PageOff: 171, Physical address: 27307, Value: -86
Virtual address: 62799, PageNum: 245, PageOff: 79, Physical address: 28495, Value: 83
Virtual address: 20188, PageNum: 78, PageOff: 220, Physical address: 40668, Value: 0
Virtual address: 1245, PageNum: 4, PageOff: 221, Physical address: 40925, Value: 0
Virtual address: 12220, PageNum: 47, PageOff: 188, Physical address: 2748, Value: 0
Virtual address: 17602, PageNum: 68, PageOff: 194, Physical address: 41154, Value: 17
Virtual address: 28609, PageNum: 111, PageOff: 193, Physical address: 28097, Value: 0
Virtual address: 42694, PageNum: 166, PageOff: 198, Physical address: 20934, Value: 41
Virtual address: 29826, PageNum: 116, PageOff: 130, Physical address: 41346, Value: 29
Virtual address: 13827, PageNum: 54, PageOff: 3, Physical address: 31235, Value: -128
Virtual address: 27336, PageNum: 106, PageOff: 200, Physical address: 28872, Value: 0
Virtual address: 53343, PageNum: 208, PageOff: 95, Physical address: 35423, Value: 23
Virtual address: 11533, PageNum: 45, PageOff: 13, Physical address: 41485, Value: 0
Virtual address: 41713, PageNum: 162, PageOff: 241, Physical address: 41969, Value: 0
Virtual address: 33890, PageNum: 132, PageOff: 98, Physical address: 42082, Value: 33
Virtual address: 4894, PageNum: 19, PageOff: 30, Physical address: 13598, Value: 4
Virtual address: 57599, PageNum: 224, PageOff: 255, Physical address: 38143, Value: 63
Virtual address: 3870, PageNum: 15, PageOff: 30, Physical address: 18974, Value: 3
Virtual address: 58622, PageNum: 228, PageOff: 254, Physical address: 15614, Value: 57
Virtual address: 29780, PageNum: 116, PageOff: 84, Physical address: 41300, Value: 0
Virtual address: 62553, PageNum: 244, PageOff: 89, Physical address: 345, Value: 0
Virtual address: 2303, PageNum: 8, PageOff: 255, Physical address: 35327, Value: 63
Virtual address: 51915, PageNum: 202, PageOff: 203, Physical address: 27339, Value: -78
Virtual address: 6251, PageNum: 24, PageOff: 107, Physical address: 7531, Value: 26
Virtual address: 38107, PageNum: 148, PageOff: 219, Physical address: 37339, Value: 54
Virtual address: 59325, PageNum: 231, PageOff: 189, Physical address: 10429, Value: 0
Virtual address: 61295, PageNum: 239, PageOff: 111, Physical address: 42351, Value: -37
Virtual address: 26699, PageNum: 104, PageOff: 75, Physical address: 42571, Value: 18
Virtual address: 51188, PageNum: 199, PageOff: 244, Physical address: 42996, Value: 0
Virtual address: 59519, PageNum: 232, PageOff: 127, Physical address: 25983, Value: 31
Virtual address: 7345, PageNum: 28, PageOff: 177, Physical address: 43185, Value: 0
Virtual address: 20325, PageNum: 79, PageOff: 101, Physical address: 16741, Value: 0
Virtual address: 39633, PageNum: 154, PageOff: 209, Physical address: 43473, Value: 0
Virtual address: 1562, PageNum: 6, PageOff: 26, Physical address: 43546, Value: 1
Virtual address: 7580, PageNum: 29, PageOff: 156, Physical address: 6300, Value: 0
Virtual address: 8170, PageNum: 31, PageOff: 234, Physical address: 34026, Value: 7
Virtual address: 62256, PageNum: 243, PageOff: 48, Physical address: 23856, Value: 0
Virtual address: 35823, PageNum: 139, PageOff: 239, Physical address: 44015, Value: -5
Virtual address: 27790, PageNum: 108, PageOff: 142, Physical address: 44174, Value: 27
Virtual address: 13191, PageNum: 51, PageOff: 135, Physical address: 44423, Value: -31
Virtual address: 9772, PageNum: 38, PageOff: 44, Physical address: 44588, Value: 0
Virtual address: 7477, PageNum: 29, PageOff: 53, Physical address: 6197, Value: 0
Virtual address: 44455, PageNum: 173, PageOff: 167, Physical address: 44967, Value: 105
Virtual address: 59546, PageNum: 232, PageOff: 154, Physical address: 26010, Value: 58
Virtual address: 49347, PageNum: 192, PageOff: 195, Physical address: 8643, Value: 48
Virtual address: 36539, PageNum: 142, PageOff: 187, Physical address: 14523, Value: -82
Virtual address: 12453, PageNum: 48, PageOff: 165, Physical address: 45221, Value: 0
Virtual address: 49640, PageNum: 193, PageOff: 232, Physical address: 45544, Value: 0
Virtual address: 28290, PageNum: 110, PageOff: 130, Physical address: 34946, Value: 27
Virtual address: 44817, PageNum: 175, PageOff: 17, Physical address: 13073, Value: 0
Virtual address: 8565, PageNum: 33, PageOff: 117, Physical address: 20085, Value: 0
Virtual address: 16399, PageNum: 64, PageOff: 15, Physical address: 45583, Value: 3
Virtual address: 41934, PageNum: 163, PageOff: 206, Physical address: 38862, Value: 40
Virtual address: 45457, PageNum: 177, PageOff: 145, Physical address: 45969, Value: 0
Virtual address: 33856, PageNum: 132, PageOff: 64, Physical address: 42048, Value: 0
Virtual address: 19498, PageNum: 76, PageOff: 42, Physical address: 22570, Value: 19
Virtual address: 17661, PageNum: 68, PageOff: 253, Physical address: 41213, Value: 0
Virtual address: 63829, PageNum: 249, PageOff: 85, Physical address: 21845, Value: 0
Virtual address: 42034, PageNum: 164, PageOff: 50, Physical address: 46130, Value: 41
Virtual address: 28928, PageNum: 113, PageOff: 0, Physical address: 16384, Value: 0
Virtual address: 30711, PageNum: 119, PageOff: 247, Physical address: 16375, Value: -3
Virtual address: 8800, PageNum: 34, PageOff: 96, Physical address: 46432, Value: 0
Virtual address: 52335, PageNum: 204, PageOff: 111, Physical address: 46703, Value: 27
Virtual address: 38775, PageNum: 151, PageOff: 119, Physical address: 46967, Value: -35
Virtual address: 52704, PageNum: 205, PageOff: 224, Physical address: 30176, Value: 0
Virtual address: 24380, PageNum: 95, PageOff: 60, Physical address: 1596, Value: 0
Virtual address: 19602, PageNum: 76, PageOff: 146, Physical address: 22674, Value: 19
Virtual address: 57998, PageNum: 226, PageOff: 142, Physical address: 3214, Value: 56
Virtual address: 2919, PageNum: 11, PageOff: 103, Physical address: 11623, Value: -39
Virtual address: 8362, PageNum: 32, PageOff: 170, Physical address: 47274, Value: 8
Virtual address: 17884, PageNum: 69, PageOff: 220, Physical address: 9948, Value: 0
Virtual address: 45737, PageNum: 178, PageOff: 169, Physical address: 7849, Value: 0
Virtual address: 47894, PageNum: 187, PageOff: 22, Physical address: 25622, Value: 46
Virtual address: 59667, PageNum: 233, PageOff: 19, Physical address: 47379, Value: 68
Virtual address: 10385, PageNum: 40, PageOff: 145, Physical address: 14737, Value: 0
Virtual address: 52782, PageNum: 206, PageOff: 46, Physical address: 47662, Value: 51
Virtual address: 64416, PageNum: 251, PageOff: 160, Physical address: 5024, Value: 0
Virtual address: 40946, PageNum: 159, PageOff: 242, Physical address: 8434, Value: 39
Virtual address: 16778, PageNum: 65, PageOff: 138, Physical address: 48010, Value: 16
Virtual address: 27159, PageNum: 106, PageOff: 23, Physical address: 28695, Value: -123
Virtual address: 24324, PageNum: 95, PageOff: 4, Physical address: 1540, Value: 0
Virtual address: 32450, PageNum: 126, PageOff: 194, Physical address: 7106, Value: 31
Virtual address: 9108, PageNum: 35, PageOff: 148, Physical address: 48276, Value: 0
Virtual address: 65305, PageNum: 255, PageOff: 25, Physical address: 30489, Value: 0
Virtual address: 19575, PageNum: 76, PageOff: 119, Physical address: 22647, Value: 29
Virtual address: 11117, PageNum: 43, PageOff: 109, Physical address: 40045, Value: 0
Virtual address: 65170, PageNum: 254, PageOff: 146, Physical address: 48530, Value: 63
Virtual address: 58013, PageNum: 226, PageOff: 157, Physical address: 3229, Value: 0
Virtual address: 61676, PageNum: 240, PageOff: 236, Physical address: 23276, Value: 0
Virtual address: 63510, PageNum: 248, PageOff: 22, Physical address: 28182, Value: 62
Virtual address: 17458, PageNum: 68, PageOff: 50, Physical address: 41010, Value: 17
Virtual address: 54675, PageNum: 213, PageOff: 147, Physical address: 48787, Value: 100
Virtual address: 1713, PageNum: 6, PageOff: 177, Physical address: 43697, Value: 0
Virtual address: 55105, PageNum: 215, PageOff: 65, Physical address: 5185, Value: 0
Virtual address: 65321, PageNum: 255, PageOff: 41, Physical address: 30505, Value: 0
